name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
South Farmer Avenue,38,402556249,54,243,,250.2991028,1,25,1000,residential,6,"LINESTRING (-111.9443252 33.4291446, -111.9443136 33.4283475, -111.9443125 33.4283045, -111.9443068 33.4280856, -111.9443026 33.4279205, -111.9442962 33.4276724, -111.944278 33.4269646, -111.9442762 33.426894)",auto,1,0.600717847
West 1st Street,39,536863178,54,337,,44.57302909,1,29,1000,tertiary,5,"LINESTRING (-111.9443252 33.4291446, -111.9448055 33.4291415)",auto,1,0.09222006
South Farmer Avenue,40,305490063,55,56,,128.3350914,1,25,1000,residential,6,"LINESTRING (-111.9442814 33.4254737, -111.9442932 33.4248846, -111.9443033 33.4243197)",auto,1,0.308004219
West 5th Street,41,402556257,55,179,,62.18509869,1,29,1000,residential,6,"LINESTRING (-111.9442814 33.4254737, -111.9441177 33.4254467, -111.9436145 33.4254447)",auto,0,0.128658825
South Farmer Avenue,42,402556249,55,243,,157.9309248,1,25,1000,residential,6,"LINESTRING (-111.9442814 33.4254737, -111.9442795 33.4261428, -111.9442763 33.4268689, -111.9442762 33.426894)",auto,1,0.37903422
West 5th Street,43,5684977,55,379,,37.85462406,1,25,1000,residential,6,"LINESTRING (-111.9442814 33.4254737, -111.9446893 33.4254741)",auto,1,0.090851098
West 6th Street,44,5654759,56,9,,64.6584516,1,29,1000,residential,6,"LINESTRING (-111.9443033 33.4243197, -111.9447197 33.4243219, -111.945 33.4243234)",auto,1,0.133776107
South Farmer Avenue,45,305490063,56,55,,128.3350914,1,25,1000,residential,6,"LINESTRING (-111.9443033 33.4243197, -111.9442932 33.4248846, -111.9442814 33.4254737)",auto,1,0.308004219
South Farmer Avenue,46,305490063,56,57,,127.0518657,1,25,1000,residential,6,"LINESTRING (-111.9443033 33.4243197, -111.9443013 33.4237381, -111.9442993 33.4231771)",auto,1,0.304924478
West 7th Street,47,5617602,57,7,,65.02922426,1,25,1000,residential,6,"LINESTRING (-111.9442993 33.4231771, -111.9448229 33.4231773, -111.945 33.4231773)",auto,1,0.156070138
South Farmer Avenue,48,305490063,57,56,,127.0518657,1,25,1000,residential,6,"LINESTRING (-111.9442993 33.4231771, -111.9443013 33.4237381, -111.9443033 33.4243197)",auto,1,0.304924478
South Farmer Avenue,49,305490063,57,58,,142.8279295,1,25,1000,residential,6,"LINESTRING (-111.9442993 33.4231771, -111.9442827 33.4224799, -111.9442823 33.4223902, -111.9442806 33.4219919, -111.9442755 33.4219392, -111.9442661 33.4218936)",auto,1,0.342787031
South Farmer Avenue,50,305490063,58,57,,142.8279295,1,25,1000,residential,6,"LINESTRING (-111.9442661 33.4218936, -111.9442755 33.4219392, -111.9442806 33.4219919, -111.9442823 33.4223902, -111.9442827 33.4224799, -111.9442993 33.4231771)",auto,1,0.342787031
